@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5,6}

@data
1,'2017/02/07 17:15:50:744',1,0.662998,0.277564,0.053327,0.230104,0.316005,0.198094,0.338119,0.394604,0.361043,0.30942,0.254874,0.172431,0.11573,387.597656,0.006125,0.014042,?,?,?
2,'2017/02/07 17:15:50:764',1,0.50308,0.319046,0.224875,0.426247,0.145248,0.075578,0.108472,0.340106,0.323866,0.318912,0.382185,0.385309,0.242185,19896.679688,0.0073,0.017152,?,?,?
3,'2017/02/07 17:15:50:785',1,0.527171,0.229504,-0.02471,-0.004721,0.005769,0.200531,0.291187,0.290574,0.378225,0.445759,0.417457,0.3864,0.388024,344.53125,0.006158,0.013997,?,?,?
4,'2017/02/07 17:15:50:806',1,0.611279,0.520088,0.365922,0.37939,0.210739,0.237944,0.155406,0.247637,0.067632,0.166428,0.236436,0.309074,0.37136,172.265625,0.006612,0.015619,?,?,?
5,'2017/02/07 17:15:50:827',1,0.708295,0.471021,-0.013612,0.160441,0.256938,0.319933,0.252764,0.377438,0.312851,0.250789,0.230816,0.245821,0.269349,19982.8125,0.006327,0.015679,?,?,?
6,'2017/02/07 17:15:50:848',1,0.854325,0.537384,0.326984,0.263007,0.129798,-0.001479,0.028862,0.13232,0.172254,0.244025,0.322395,0.347167,0.162436,215.332031,0.006804,0.017564,?,?,?
7,'2017/02/07 17:15:50:869',1,0.637226,0.520732,0.162589,0.1319,0.232817,0.105943,0.11672,0.315414,0.272455,0.402264,0.357432,0.266698,0.202992,19896.679688,0.008563,0.018869,?,?,?
8,'2017/02/07 17:15:50:890',1,0.664132,0.374275,0.143164,0.119583,0.066948,0.224627,0.406035,0.475062,0.205445,0.229264,0.048107,0.178783,0.211947,19939.746094,0.008232,0.017737,?,?,?
9,'2017/02/07 17:15:50:910',1,0.752234,0.659041,0.304402,0.172846,0.047254,0.029904,0.155903,0.310438,0.174824,0.202197,0.157745,0.212186,0.436117,215.332031,0.007131,0.018844,?,?,?
10,'2017/02/07 17:15:50:931',1,0.909499,0.61521,0.141574,0.128822,0.060575,0.117092,0.084854,0.202915,0.236216,0.099185,0.227321,0.417585,0.274051,215.332031,0.006149,0.018316,?,?,?
11,'2017/02/07 17:15:50:953',1,0.813724,0.459167,0.129823,0.162659,0.132206,0.281613,0.2091,0.205708,0.235626,0.36578,0.325008,0.194258,0.107947,19939.746094,0.008041,0.021115,?,?,?
12,'2017/02/07 17:15:50:972',1,0.700907,0.443794,0.182606,0.275398,0.340972,0.395732,0.220069,0.266897,0.225755,0.272683,0.171729,0.144755,0.207115,129.199219,0.005578,0.014783,?,?,?
13,'2017/02/07 17:15:50:993',1,0.802165,0.414608,0.263519,0.320591,0.132815,0.184913,0.29739,0.198895,0.138185,0.247938,0.345108,0.305568,0.171017,20025.878906,0.005831,0.014087,?,?,?
14,'2017/02/07 17:15:51:014',1,0.654327,0.503785,0.272585,0.23159,0.236947,0.303399,0.257039,0.178473,0.051953,0.195962,0.19605,0.406982,0.309688,19982.8125,0.006931,0.016065,?,?,?
15,'2017/02/07 17:15:51:035',1,0.598596,0.65752,0.290844,0.303239,0.103926,0.064041,0.109834,0.104611,0.123202,0.290316,0.430546,0.328875,0.13896,172.265625,0.006669,0.01483,?,?,?
16,'2017/02/07 17:15:51:056',1,0.827438,0.508231,0.22522,0.131183,0.190284,0.291986,0.380301,0.347936,0.082203,0.049574,0.246198,0.255279,0.279134,129.199219,0.006109,0.015165,?,?,?
17,'2017/02/07 17:15:51:077',1,0.742207,0.56362,0.249497,0.506256,0.294908,0.060797,0.016981,0.25055,0.222845,0.282816,0.195462,0.292881,0.184884,172.265625,0.006676,0.016124,?,?,?
18,'2017/02/07 17:15:51:097',1,0.754318,0.223427,0.048871,0.15599,-0.041666,0.138159,0.288945,0.316978,0.353211,0.20979,0.222187,0.341556,0.232637,344.53125,0.005667,0.01346,?,?,?
19,'2017/02/07 17:15:51:118',1,0.664386,0.4144,0.125819,0.115959,0.070895,0.102969,0.172472,0.343568,0.371282,0.307844,0.215774,0.268926,0.256602,301.464844,0.006077,0.01625,?,?,?
20,'2017/02/07 17:15:51:139',1,0.653659,0.409944,0.215966,0.059505,0.309436,0.328989,0.239013,0.199242,0.236135,0.338356,0.275509,0.263399,0.196429,19982.8125,0.008071,0.017755,?,?,?
21,'2017/02/07 17:15:51:160',1,0.854119,0.348008,0.135331,0.263382,0.319104,0.300901,0.177697,0.204122,0.073131,0.14171,0.132715,0.321725,0.343873,172.265625,0.006739,0.015589,?,?,?
22,'2017/02/07 17:15:51:181',1,0.695783,0.593413,0.186271,0.208474,-0.003027,0.047822,0.340139,0.288156,0.080703,0.363283,0.372331,0.311479,0.188757,301.464844,0.005726,0.013331,?,?,?
23,'2017/02/07 17:15:51:202',1,0.570258,0.523678,0.35908,0.226745,0.200915,0.173954,0.058525,0.12846,0.168753,0.196293,0.411058,0.434804,0.375698,215.332031,0.006267,0.016707,?,?,?
24,'2017/02/07 17:15:51:222',1,0.723455,0.434302,0.271605,0.303596,0.184561,0.203037,0.143406,0.214259,0.198195,0.317351,0.163158,0.156198,0.178019,129.199219,0.006043,0.016509,?,?,?
25,'2017/02/07 17:15:51:243',1,0.567899,0.295376,0.153201,0.240851,0.131846,0.015703,0.249769,0.379589,0.282439,0.247493,0.212955,0.118888,0.274278,20112.011719,0.005416,0.012654,?,?,?
